A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BY,BZ,CA,CB,CC,target
e3af914a,rinki,9,1,500years,79,rinki,16.60074853,59.5,83.6,,77,111,112,rinki,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,3.01,chotu,3,5,4,1,2,2,1,2,3,2,4,1,2,3,2,1,3,1,1,1,chotu,58,80,rinki,0,1
a28aaedb,rinki,16,0,,,chotu,19.12573529,68,125.8,31,61,63,116,,,,,chotu,20,0,18.7,1,20.7,1,14,0,3.5,0,4.5,0,7,0,chotu,,,,,,,,,,,,,,,,,chotu,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04ccb838,500years,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba158a9c,500years,5,0,17cm,65,,,,,,,,,,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,500years,56,77,500years,2,0
3875d4de,chotu,10,0,chotu,60,rinki,22.57441737,55.3,98.2,,98,73,164,rinki,,,,chotu,,,,,,,,,,,,,,,500years,2,3.64329,22.5769,1151.68,1842.69,15.3301,64.932,14.9283,7.64854,33.268,2,30.9007,18.7013,61.2888,27.7926,46.2308,,,17cm,3.27,17cm,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,17cm,34,49,chotu,3,0
39bdbb00,rinki,8,1,500years,70,rinki,16.44677975,48.75,55.6,24,82,118,132,,,,,rinki,0,0,,,,,0,0,11,1,10,1,12,1,rinki,3,2.45402,16.2812,976.432,1562.29,11.5793,46.2658,13.5479,2.7333,9.3342,1,21.1699,13.5166,43.8118,19.0541,32.7492,,,,,chotu,0,0,2,0,0,0,0,0,0,0,1,0,2,2,0,4,2,3,0,1,chotu,38,54,rinki,0,0
329a9c25,17cm,10,1,rinki,70,rinki,25.41874876,58.75,124.8,,39,109,131,rinki,,,,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1.89,17cm,4,4,4,3,4,3,0,2,1,2,2,0,5,3,3,5,3,3,3,3,17cm,59,81,17cm,2,2
8ad5e251,rinki,6,0,17cm,75,17cm,17.37816,50,61.8,,53,88,102,17cm,,,,chotu,,,,,,,,,,,,,,,500years,5,2.57934,17.3801,1017.29,2441.5,4.70852,50.618,14.2353,3.14472,11.182,2,22.8808,23.0287,48.0387,29.9372,27.5893,,,,,chotu,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,chotu,32,46,rinki,0,0
a8c3683b,rinki,9,0,,,chotu,17.12274484,51.5,64.6,23,60,94,109,,,,,chotu,20,1,,,,,5,1,12,1,12.5,1,6.5,1,chotu,1,3.32552,17.1246,1039.61,1351.5,12.5062,52.9957,14.0485,3.07616,11.6043,2,28.0057,12.4837,49.6701,23.8609,40.5119,,,chotu,2.88,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,
e37d000b,500years,8,1,17cm,63,500years,19.02048819,50.5,69,,76,84,127,,,,,500years,6,1,,,,,2,0,9,1,7,0,5,0,500years,1,2.63304,19.0226,1014.1,1318.33,13.6598,50.2782,13.8612,5.16139,18.7218,2,22.0661,14.5523,47.6452,19.7487,35.7259,,,,,500years,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500years,29,42,500years,2,0
7f5aeb05,rinki,7,0,chotu,70,,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,2,2,0,2,1,0,1,1,2,0,0,1,0,1,1,1,1,1,1,chotu,32,46,rinki,2,0
91942b42,17cm,8,1,chotu,61,chotu,15.43914931,48,50.6,,55,93,132,chotu,4,5,24,chotu,15,1,,,,,15,1,12.5,1,13,1,7,1,chotu,1,2.47631,15.4408,959.476,1247.32,10.9895,44.4598,13.5671,1.87371,6.14019,1,23.0879,10.3824,41.9835,25.9123,34.0774,,,chotu,2.71,chotu,4,4,4,0,5,3,0,2,0,4,4,0,0,4,3,4,4,5,4,2,chotu,49,68,17cm,2,2
86a8e0d6,500years,11,0,rinki,45,rinki,20.5736968,65.25,124.6,,89,63,136,rinki,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,1.74,rinki,5,4,5,2,5,2,1,3,1,4,3,0,0,1,2,0,2,0,0,0,17cm,47,66,500years,2,1
113ef295,rinki,12,1,chotu,70,chotu,16.93460615,63,95.6,27,62,76,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1.67,,,,,,,,,,,,,,,,,,,,,,rinki,39,55,,,
ec13a1b9,500years,8,0,rinki,61,17cm,16.26735493,53,65,,73,77,114,17cm,2,2,33,17cm,4,0,,,,,0,0,9,1,5,0,7,1,17cm,3,3.58609,16.2691,1071.08,1820.83,12.1423,56.3468,14.1033,2.16586,8.65325,2,31.3337,12.8707,52.7607,36.3596,43.476,,,,,17cm,3,3,3,0,4,1,0,2,1,1,1,0,3,2,5,4,5,4,4,4,500years,37,53,500years,2,2
9f9be55c,chotu,10,0,rinki,70,rinki,19.02005556,60,97.4,,67,67,130,rinki,,,,chotu,,,,,,,,,,,,,,,500years,4,5.36215,19.0221,1420.57,2983.2,26.066,93.5724,18.2746,0.747519,3.82756,2,46.9716,20.5348,88.2103,61.5239,73.0376,,,500years,1.86,500years,4,4,5,0,0,0,0,4,5,4,1,0,4,4,4,4,4,4,0,0,500years,52,72,chotu,0,2
d66aed49,rinki,8,0,17cm,70,chotu,,,0,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rinki,44,62,rinki,0,0
d5cebbfc,chotu,6,0,rinki,65,500years,13.62214533,51,50.4,,76,86,117,500years,,,,500years,10,1,,,,,2,0,6,0,5.5,0,6.5,1,500years,3,8.50609,13.6236,975.336,1658.07,7.43282,46.1491,12.4746,1.14907,4.25092,1,23.5423,15.174,37.643,21.0355,30.9751,,,,,500years,4,4,3,2,5,0,0,1,1,2,2,0,5,0,2,3,1,3,1,1,500years,54,75,chotu,1,1
ec0f4afa,chotu,6,1,500years,60,chotu,14.26619104,43.5,38.4,21,59,83,99,,,,,chotu,4,1,,,,,0,0,9,1,9,1,10,1,chotu,1,1.85184,14.2677,904.738,1176.16,7.35521,38.6295,14.353,-0.0852728,-0.229502,1,18.0323,13.242,36.7777,14.4781,25.3875,,,,,chotu,2,4,2,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,,,,chotu,3,0
240a2450,500years,16,0,,,chotu,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a99e7438,rinki,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714afd7,17cm,10,0,,,17cm,15.68866835,55.2,68,,66,75,127,17cm,4,5,54,17cm,6,0,11.7,,11.4,,0,0,6,0,7,0,6,0,17cm,3,7.80633,15.6904,1067.46,1814.68,11.9639,55.9612,12.9125,2.77784,12.0388,2,26.7244,17.273,48.1549,22.4002,38.6882,,,,,17cm,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17cm,32,46,17cm,2,0
9fa68512,chotu,6,0,17cm,65,chotu,17.36944151,46.75,54,23,54,79,98,,,,,chotu,3,1,,,,,1,0,12,1,11.5,1,12,1,500years,2,2.74643,17.3713,949.371,1518.99,9.40341,43.3835,13.9561,3.41524,10.6165,1,24.4427,9.53741,40.637,17.6742,33.8461,,,,,500years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,chotu,0,0
99328d2e,rinki,12,1,500years,60,17cm,18.26968047,65,109.8,,75,70,115,,,,,17cm,10,0,24.7,3,24.8,3,5,0,6,0,7,0,9,1,17cm,2,5.37893,18.2717,1378,2067,28.5772,89.038,14.8167,3.45498,20.762,2,37.8315,22.6294,83.6591,52.5508,66.4087,,,rinki,2.5,17cm,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,17cm,28,41,rinki,1,0
432aff11,17cm,8,0,rinki,85,17cm,16.43306421,51,60.8,,69,98,115,17cm,3,3,51,17cm,3,0,,,,,0,0,5,0,6,0,6,1,17cm,2,2.85581,16.4349,1034.47,1655.16,11.4102,52.448,14.1772,2.25763,8.352,1,29.6501,11.3877,49.5922,31.5582,41.0603,,,,,17cm,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17cm,34,49,17cm,0,0
428970d4,chotu,9,0,500years,52,rinki,14.26915702,55,61.4,,77,73,138,rinki,,,,500years,,,,,,,,,,,,,,,500years,3,3.60408,14.2707,1057.43,1797.63,12.3152,54.8933,12.7584,1.51229,6.50666,2,27.1858,15.3923,51.2893,23.1506,39.501,,,500years,2.87,500years,5,5,2,4,4,3,1,2,3,3,3,0,1,1,2,2,3,2,1,0,500years,57,79,chotu,1,1
f1d1273e,rinki,12,0,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,,
c4338f5e,500years,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66760b74,chotu,10,0,,,17cm,,,,,,,,,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
9dbdbebf,rinki,7,1,500years,80,rinki,20.26817158,50.25,72.8,24,53,78,105,,,,,rinki,9,1,,,,,0,0,12,1,12,1,8,1,chotu,3,2.82599,20.2704,1031.58,1650.53,16.2997,52.1399,14.5178,5.7526,20.6601,2,24.2658,11.5743,49.3139,21.4463,40.5656,,,,,chotu,3,2,3,0,3,1,0,3,0,1,3,0,2,1,0,2,2,2,0,0,chotu,39,55,rinki,0,0
319ea3cd,500years,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8823b020,17cm,12,0,chotu,65,rinki,18.62010916,59,92.2,,69,86,112,,,,,rinki,6,0,13.2,1,15.5,1,0,0,0,0,4,0,13,1,,,,,,,,,,,,,,,,,,,,rinki,1.56,rinki,2,3,1,2,4,1,1,1,1,2,3,0,1,2,3,1,3,1,1,2,rinki,30,43,17cm,0,1
9ba1a228,chotu,6,0,,,chotu,15.150792,46.5,46.6,20,83,80,172,,,,,chotu,5,1,,,,,8,1,12.5,1,11.5,1,10,1,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,0,
f0957ca1,17cm,12,0,chotu,66,rinki,18.43508772,57,85.2,,69,94,117,,,,,rinki,8,0,15.5,1,21.2,2,5,0,5.5,0,5.5,0,7,0,rinki,2,3.50144,18.4371,1123.55,1797.69,10.242,61.9363,13.4029,5.03421,23.2637,2,28.5474,23.1469,58.4349,35.794,38.7894,,,17cm,1.93,rinki,5,5,5,1,5,5,0,2,1,3,2,0,2,4,4,2,2,3,0,3,rinki,33,47,17cm,1,2
ce031b1b,17cm,9,0,rinki,65,rinki,18.721161,52.5,73.4,,65,78,115,rinki,5,8,6,rinki,6,0,,,,,9,1,5.5,0,5.5,0,9,1,,,,,,,,,,,,,,,,,,,,17cm,3.95,17cm,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,17cm,37,53,17cm,0,0
d1388181,chotu,10,0,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,,,chotu,,
51134510,500years,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2.39,,,,,,,,,,,,,,,,,,,,,,,,,500years,,
3cd25935,500years,10,1,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,,
d28a1c47,chotu,8,0,,,,,,,,,,,,,,,chotu,10,1,,,,,5,0,14,1,14,1,12,1,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,
c69ffa09,500years,14,0,,,rinki,18.33007407,67.5,118.8,,69,55,120,,,,,rinki,26,1,27.2,1,27.2,1,24,1,10,1,9,1,11,1,rinki,3,9.06926,18.3321,2357.28,4007.37,59.4844,193.344,29.835,-11.5029,-74.544,2,86.5911,47.2686,184.275,132.636,146.075,500years,2.97,,,rinki,2,2,3,1,2,2,2,2,1,1,2,0,0,0,1,0,1,0,0,0,rinki,51,71,500years,0,0
5e6490e3,17cm,9,0,chotu,70,rinki,19.92431122,56,88.88,,53,99,99,rinki,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,3.36,rinki,4,3,2,1,2,1,0,1,1,1,2,0,1,1,1,0,1,1,1,1,rinki,32,46,17cm,0,0
5d04624a,500years,10,1,rinki,40,17cm,14.97354864,51,55.4,,66,90,107,17cm,1,0,40,17cm,30,1,,,,,20,1,11,1,9,1,12,1,17cm,2,9.56787,14.9752,998.454,1497.68,12.5197,48.6115,13.1402,1.835,6.78849,1,22.1922,13.8996,39.0436,20.9614,34.7119,,,500years,2.44,17cm,2,3,4,0,3,3,0,4,0,0,1,0,4,4,4,4,4,4,4,0,17cm,66,90,500years,2,1
00e6167c,rinki,6,0,chotu,60,rinki,30.09464889,37.5,60.2,24,61,91,95,,,,,rinki,6,1,,,,,0,0,4,0,4,0,7,1,rinki,2,2.75035,17.2738,1003.07,1504.61,15.1456,49.1034,14.0898,3.18407,11.0966,1,23.6182,10.3396,46.3531,19.8886,38.7638,,,,,rinki,3,3,2,0,4,0,0,0,0,2,2,0,3,0,0,2,3,3,1,0,rinki,39,55,rinki,3,0
677038b5,rinki,8,1,500years,60,chotu,23.84984985,55.5,104.5,,123,77,152,chotu,7,12,14,rinki,9,1,,,,,3,0,13,1,13,1,10,1,rinki,2,3.65099,23.8525,1178.61,1767.91,22.9218,67.8002,15.4756,8.37684,36.6998,3,29.1782,15.7003,64.1492,30.0231,52.0999,,,,,chotu,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,chotu,31,45,rinki,0,0
697c41d7,17cm,9,0,chotu,75,rinki,20.22102102,55.5,88.6,,87,78,117,rinki,6,9,50,rinki,6,0,,,,,0,0,13.5,1,13,1,6.5,1,rinki,3,6.20331,20.2232,1154.36,1962.41,16.3288,65.2177,14.8861,5.33708,23.3823,2,32.3205,16.5683,59.0144,30.8059,48.6494,,,rinki,1.68,rinki,5,4,2,0,5,5,0,1,4,4,2,0,1,3,3,5,1,5,1,0,rinki,37,53,17cm,2,2
1cd37b36,500years,13,0,rinki,60,17cm,18.85498522,61,99.8,,81,85,110,,,,,17cm,20,0,18.2,1,17.2,1,10,0,7.5,1,7.5,1,9,1,,,,,,,,,,,,,,,,,,,,17cm,3.19,500years,4,4,3,1,4,2,1,1,1,3,1,1,4,2,2,3,2,2,2,2,500years,30,43,17cm,2,1
44eaea78,17cm,18,0,chotu,65,rinki,17.85760228,72.25,132.6,,69,84,109,,,,,,,,,,,,,,,,,,,,500years,3,7.0938,17.8596,1571.79,2672.04,32.4548,109.679,14.7724,3.08712,22.9206,1,47.2081,30.0164,102.586,52.1774,79.663,rinki,1.4,,,rinki,4,4,4,2,3,5,1,2,2,4,4,1,2,2,2,1,3,3,3,4,rinki,35,50,17cm,1,2
5779f2e9,17cm,5,1,rinki,75,17cm,14.01134948,42.5,36,,73,96,105,17cm,,,,17cm,0,0,,,,,8,1,11.5,1,12,1,13,1,,,,,,,,,,,,,,,,,,,,,,17cm,2,2,4,0,4,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,17cm,38,54,17cm,2,0
c4aa8d47,500years,5,0,rinki,62,500years,14.30546884,46.5,44,,,,,500years,,,,500years,0,0,,,,,0,0,6,0,5,0,6,1,500years,4,2.63383,14.307,914.979,1921.46,7.43597,39.7203,12.9155,1.39158,4.27967,2,22.4583,9.82604,37.0865,15.8118,29.8943,,,,,17cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,500years,0,0
a9717f92,rinki,14,1,chotu,92,rinki,18.98856447,65.25,115,28,50,56,119,,,,,rinki,42,1,30.2,3,27.3,3,1,0,12,1,12,1,12,1,rinki,4,5.22189,18.9906,1351.71,2568.24,28.9,86.2375,14.2409,4.74972,28.7625,1,34.4345,22.903,81.0156,40.4633,63.3345,rinki,3.88,,,rinki,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,rinki,34,49,rinki,0,0
fb9b060f,500years,16,1,17cm,65,500years,21.26696369,67,135.8,,108,67,139,,,,,500years,15,0,27.1,2,30.5,3,2,0,19,1,19,1,12,1,500years,2,-0.0217578,21.2693,1417.6,2126.39,32.0044,93.2556,14.6059,6.6634,42.5444,2,35.9542,25.297,93.2773,42.6606,67.9586,500years,1.07,,,500years,3,3,3,1,1,3,4,4,5,4,2,1,3,3,3,1,2,3,2,1,500years,68,93,500years,2,2
99a8a9e7,17cm,9,1,rinki,65,17cm,17.88883929,56,79.8,,64,78,104,17cm,6,10,27,17cm,7,1,,,,,10,1,8,0,7,0,11,1,rinki,3,8.42368,17.8908,1099.58,1759.33,17.5007,59.3826,13.3133,4.57748,20.4174,3,24.7702,17.1117,50.959,23.808,42.2709,,,17cm,2.27,17cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17cm,37,53,17cm,0,0
979a5c76,500years,13,0,rinki,65,17cm,20.11706556,62,110,,63,96,131,,,,,17cm,20,0,32.2,3,31.2,2,8,0,7,0,7.5,1,12,1,17cm,4,0.61178,20.1193,1412.75,2966.78,28.1639,92.7395,16.9623,3.15698,17.2605,2,42.6138,21.9618,92.1278,43.2006,70.7778,,,500years,1.59,17cm,2,2,3,1,3,2,0,1,2,2,3,0,2,0,2,2,3,3,2,1,17cm,32,46,500years,2,1
8ebacec2,rinki,15,0,,,rinki,39.03626886,67.5,253,49,86,82,134,,,,,rinki,0,0,27.1,1,29.3,2,0,0,0,0,5,0,12,1,rinki,,,,,,,,,,,,,,,,,rinki,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2,
b9c085ab,chotu,10,0,,,500years,15.16339154,54.13,63.2,,64,82,108,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,1.43,chotu,1,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,chotu,33,47,chotu,2,0
22f43a12,17cm,8,0,500years,65,rinki,15.85046658,51.5,59.8,,56,83,97,rinki,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.59,chotu,2,2,3,1,3,1,0,0,0,0,2,0,1,0,1,1,1,1,2,0,rinki,42,59,17cm,0,0
a01f9d73,chotu,7,1,rinki,50,rinki,,,,,,,,,,,,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,0,
29587a31,500years,8,1,17cm,60,500years,14.03559028,48,46,,70,85,113,500years,3,4,19,500years,2,0,,,,,2,0,12.5,1,11.5,1,7,1,17cm,3,9.23504,14.0371,949.99,1519.98,11.2755,43.4494,13.2588,0.77834,2.55064,1,20.6164,11.5575,34.2143,16.2833,31.8919,,,,,500years,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500years,53,73,500years,0,0
998115f3,chotu,9,0,rinki,50,,,,,,,,,,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2.47,500years,4,3,3,2,4,1,0,1,0,2,4,0,2,1,2,1,2,2,2,1,500years,32,46,chotu,2,1
8f39a0e7,500years,10,1,rinki,70,17cm,16.35789474,57,75.6,,73,108,116,17cm,5,7,38,17cm,24,1,16.8,2,15.9,2,18,1,11.5,1,12,1,12,1,17cm,3,6.53194,16.3597,1111.02,1777.63,17.97,60.6013,13.114,3.24569,14.9987,2,25.7979,16.8333,54.0693,25.9144,43.7679,,,500years,3.8,17cm,4,4,3,0,4,3,4,4,4,3,4,0,2,2,2,1,2,0,0,1,17cm,42,59,500years,,1
d2b84f45,17cm,13,1,chotu,80,rinki,19.1034428,62.75,107,,85,69,117,,,,,rinki,35,1,24.5,3,24.6,3,20,1,14.5,1,15,1,11,1,rinki,3,0.702322,19.1055,1306.54,2090.46,27.1829,81.4265,14.5392,4.56632,25.5735,2,33.5373,20.7062,80.7241,38.9846,60.7203,,,17cm,2.26,rinki,2,2,2,2,2,2,1,1,1,1,3,0,2,2,1,1,2,2,1,1,rinki,39,55,17cm,2,1
659a6c6a,500years,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc47b4d,500years,11,0,,,,,,,,,,,,,,,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,,
8c5a5a21,17cm,7,0,,,17cm,17.20567313,50.25,61.8,24,71,80,107,,,,,17cm,0,0,,,,,0,0,8.5,1,8.5,1,8,1,rinki,2,3.1284,17.2076,1010.82,1617.31,11.4159,49.9288,13.9021,3.30541,11.8712,1,26.4977,12.0152,46.8004,21.0297,37.9136,,,,,rinki,4,4,1,0,4,0,0,2,0,0,1,0,1,1,0,3,1,3,1,0,rinki,60,82,17cm,1,0
3d3fb503,500years,7,0,17cm,53,500years,16.24551391,47.8,52.8,22,,,,,,,,500years,6,1,,,,,8,1,12,1,11,1,10,1,rinki,2,2.82763,16.2473,956.012,1529.62,8.92449,44.0908,13.5674,2.67993,8.70917,1,24.8379,10.3285,41.2632,20.1155,33.7623,,,,,17cm,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,1,1,1,0,17cm,36,51,500years,2,0
d0fbc48e,500years,8,1,rinki,61,17cm,17.46013072,51,64.6,,88,108,111,17cm,7,11,15,17cm,7,1,,,,,15,1,7,0,6,0,9,1,17cm,3,8.67275,17.462,1015.58,1624.92,14.1745,50.4354,13.6332,3.82885,14.1646,2,22.9725,13.2884,41.7626,21.0134,37.147,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,44,62,500years,2,
90fee6b1,500years,10,1,17cm,61,17cm,12.79127219,52,49.2,,75,72,109,17cm,6,9,23,17cm,8,1,,,,,10,1,12,1,14,1,12,1,17cm,3,11.7609,12.7927,1000.35,1600.56,11.3204,48.8133,12.6921,0.100537,0.386662,2,21.2667,16.2263,37.0524,20.4845,32.5871,,,500years,3.45,17cm,3,3,2,2,4,1,0,1,0,1,3,0,1,0,0,1,3,1,1,0,17cm,34,49,500years,2,0
14e00ce0,rinki,7,1,17cm,80,,,,,,,,,,,,,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,0,2,0,4,1,0,0,1,1,3,0,1,2,2,1,2,2,1,0,chotu,34,49,rinki,0,0
d991786c,17cm,5,0,,,17cm,16.88112493,43,44.4,21,35,72,60,,,,,17cm,0,0,,,,,0,0,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,0,
e8d9d5ea,500years,9,1,500years,70,17cm,15.15395408,56,67.6,,79,83,115,17cm,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,2.4,17cm,3,3,3,0,2,0,0,0,1,1,2,0,1,1,1,1,2,1,1,1,17cm,46,64,500years,1,0
9fec142f,rinki,13,1,500years,30,chotu,29.28022461,64,170.6,36,56,74,110,,,,,chotu,17,0,23.6,2,24.9,3,0,0,10,1,10,1,12,1,chotu,3,5.32279,29.2834,1483.36,2373.37,36.7371,100.26,17.2096,12.0738,70.3399,3,38.0122,25.5108,94.9373,43.8803,74.7493,,,rinki,1.79,chotu,3,3,3,1,3,2,0,4,2,2,3,0,2,1,2,4,4,4,5,1,chotu,47,66,rinki,0,1
69fabb6b,17cm,14,0,rinki,70,rinki,17.88939223,62.75,100.2,,76,116,147,,,,,rinki,25,1,17,1,22.4,1,14,1,7,0,8,1,12,1,,,,,,,,,,,,,,,,,,,,rinki,1.42,rinki,5,5,5,2,5,5,4,4,5,4,4,1,5,0,5,5,4,5,2,2,rinki,36,51,17cm,2,2
516e4894,chotu,17,1,,,chotu,22.53000756,63,127.2,30,58,72,123,,,,,500years,10,0,27.8,2,26.5,2,11,1,12,1,12,1,12,1,500years,3,4.85064,22.5325,1338.07,2140.92,28.7415,84.7856,15.0191,7.51336,42.4143,2,34.0497,21.9943,79.9349,40.271,62.7913,17cm,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,3,
4859a9f9,500years,6,0,rinki,65,500years,14.86061567,43.5,40,,66,87,114,rinki,4,6,53,500years,7,1,,,,,5,1,9,1,9,1,6,1,17cm,2,2.98827,14.8622,1015.35,1624.56,14.027,50.4113,18.7306,-3.86838,-10.4113,1,31.7485,4.63581,47.423,29.9551,45.7755,,,,,500years,4,0,3,0,0,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,,,,17cm,0,0
92bcf0e7,chotu,7,0,500years,80,chotu,16.24551391,47.8,52.8,,79,68,102,chotu,12,20,0,chotu,16,1,,,,,2,0,11.5,1,11,1,13,1,,,,,,,,,,,,,,,,,,,,,,500years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,chotu,33,47,chotu,0,0
2ff729d3,rinki,13,1,500years,80,chotu,22.10996327,66,137,,73,81,115,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2.91,rinki,1,1,2,0,2,2,2,0,1,1,1,0,0,0,1,1,1,0,0,0,rinki,48,67,,,0
95d57ff9,rinki,12,0,500years,60,chotu,20.18005858,58.25,97.4,,80,107,126,chotu,5,7,15,rinki,3,0,14.1,2,13.7,2,0,0,14,1,13,1,8,0,rinki,2,4.28499,20.1823,1218.22,1949.15,18.7124,72.0195,14.9232,5.25909,25.3805,2,34.5889,18.7182,67.7345,34.0793,53.3013,,,chotu,2.459,chotu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chotu,55,76,rinki,0,0
142242d9,chotu,5,0,,,chotu,20.22273095,46.5,62.2,24,,,,,,,,chotu,0,0,,,,,0,0,12.5,1,14,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,1,
3bbf88cd,rinki,8,1,,,chotu,18.40695266,52,70.8,,57,66,101,chotu,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.43,chotu,5,4,4,2,5,3,0,4,5,4,3,0,5,5,4,5,4,5,3,3,chotu,64,88,rinki,2,2
